symbol,industry_name
AST,"Bán lẻ"
BTT,"Bán lẻ"
CMV,"Bán lẻ"
COM,"Bán lẻ"
DGW,"Bán lẻ"
FRT,"Bán lẻ"
MWG,"Bán lẻ"
PET,"Bán lẻ"
PIT,"Bán lẻ"
SBV,"Bán lẻ"
SVT,"Bán lẻ"
BIC,"Bảo hiểm"
BMI,"Bảo hiểm"
BVH,"Bảo hiểm"
MIG,"Bảo hiểm"
PGI,"Bảo hiểm"
AGG,"Bất động sản"
BCM,"Bất động sản"
CCL,"Bất động sản"
CKG,"Bất động sản"
CRE,"Bất động sản"
D2D,"Bất động sản"
DIG,"Bất động sản"
DRH,"Bất động sản"
DTA,"Bất động sản"
DXG,"Bất động sản"
DXS,"Bất động sản"
FDC,"Bất động sản"
FIR,"Bất động sản"
HAR,"Bất động sản"
HDC,"Bất động sản"
HDG,"Bất động sản"
HPX,"Bất động sản"
HQC,"Bất động sản"
HTN,"Bất động sản"
IJC,"Bất động sản"
ITC,"Bất động sản"
KBC,"Bất động sản"
KDH,"Bất động sản"
KHG,"Bất động sản"
KOS,"Bất động sản"
LDG,"Bất động sản"
LGL,"Bất động sản"
LHG,"Bất động sản"
NBB,"Bất động sản"
NLG,"Bất động sản"
NTL,"Bất động sản"
NVL,"Bất động sản"
NVT,"Bất động sản"
PDR,"Bất động sản"
PTL,"Bất động sản"
QCG,"Bất động sản"
SCR,"Bất động sản"
SGR,"Bất động sản"
SIP,"Bất động sản"
SJS,"Bất động sản"
SZC,"Bất động sản"
SZL,"Bất động sản"
TCH,"Bất động sản"
TDC,"Bất động sản"
TDH,"Bất động sản"
TEG,"Bất động sản"
TIP,"Bất động sản"
TIX,"Bất động sản"
TLD,"Bất động sản"
TN1,"Bất động sản"
VHM,"Bất động sản"
VIC,"Bất động sản"
VPH,"Bất động sản"
VPI,"Bất động sản"
VRC,"Bất động sản"
VRE,"Bất động sản"
CMG,"Công nghệ Thông tin"
ELC,"Công nghệ Thông tin"
FPT,"Công nghệ Thông tin"
ICT,"Công nghệ Thông tin"
ITD,"Công nghệ Thông tin"
SAM,"Công nghệ Thông tin"
SGT,"Công nghệ Thông tin"
ST8,"Công nghệ Thông tin"
BSR,"Dầu khí"
PLX,"Dầu khí"
PVD,"Dầu khí"
AGR,"Dịch vụ tài chính"
APG,"Dịch vụ tài chính"
BCG,"Dịch vụ tài chính"
BSI,"Dịch vụ tài chính"
CTS,"Dịch vụ tài chính"
DSC,"Dịch vụ tài chính"
DSE,"Dịch vụ tài chính"
EVF,"Dịch vụ tài chính"
FTS,"Dịch vụ tài chính"
HCM,"Dịch vụ tài chính"
OGC,"Dịch vụ tài chính"
ORS,"Dịch vụ tài chính"
SSI,"Dịch vụ tài chính"
TCI,"Dịch vụ tài chính"
